12:40:36.149481 config: drop-rate=0.00, max-delay=0s, seed=1554223236149334000
12:40:36.149735 router is listening at :3000
12:40:48.986213 [queue=0] packet #1330861088, 127.0.0.1:58086 -> 32.72.84.84:20527, sz=56 is delivered
12:42:00.878292 [queue=0] packet #1330861088, 127.0.0.1:62160 -> 32.72.84.84:20527, sz=56 is delivered
12:43:35.098487 [queue=0] packet #1330861088, 127.0.0.1:51753 -> 32.72.84.84:20527, sz=56 is delivered
13:22:21.394338 [queue=0] packet #1330861088, 127.0.0.1:49649 -> 32.72.84.84:20527, sz=56 is delivered
13:23:16.353237 config: drop-rate=0.00, max-delay=0s, seed=1554225796353166000
13:23:16.353447 router is listening at :3000
13:23:34.013891 [queue=0] packet #1330861088, 127.0.0.1:57462 -> 32.72.84.84:20527, sz=56 is delivered
13:26:21.706691 [queue=0] packet #1330861088, 127.0.0.1:51836 -> 32.72.84.84:20527, sz=56 is delivered
13:40:42.267663 [queue=0] packet #100000, 127.0.0.1:63635 -> 127.0.0.1:8007, sz=67 is delivered
13:40:42.267875 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:63635, sz=67 is delivered
13:41:06.678619 [queue=0] packet #100000, 127.0.0.1:62008 -> 127.0.0.1:8007, sz=67 is delivered
13:41:57.590802 [queue=0] packet #100000, 127.0.0.1:49384 -> 127.0.0.1:8007, sz=67 is delivered
13:41:57.591010 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:49384, sz=67 is delivered
13:43:52.149307 [queue=0] packet #100000, 127.0.0.1:53157 -> 127.0.0.1:8007, sz=67 is delivered
13:46:07.998752 [queue=0] packet #100000, 127.0.0.1:61898 -> 127.0.0.1:8007, sz=67 is delivered
13:46:07.998934 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:61898, sz=67 is delivered
13:48:18.601017 [queue=0] packet #100000, 127.0.0.1:63511 -> 127.0.0.1:8007, sz=0 is delivered
13:48:18.601180 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:63511, sz=0 is delivered
13:49:16.640693 [queue=0] packet #100000, 127.0.0.1:64621 -> 127.0.0.1:8007, sz=0 is delivered
13:49:16.640822 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:64621, sz=0 is delivered
13:50:45.318065 [queue=0] packet #100000, 127.0.0.1:52526 -> 127.0.0.1:8007, sz=0 is delivered
13:50:45.318216 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:52526, sz=0 is delivered
13:52:54.382389 [queue=0] packet #100000, 127.0.0.1:49195 -> 127.0.0.1:8007, sz=0 is delivered
13:52:54.382538 [queue=0] packet #100000, 127.0.0.1:8007 -> 127.0.0.1:49195, sz=0 is delivered
